county,baseline_dem_votes,baseline_rep_votes,baseline_other_votes,baseline_total_votes,p0,logit_p0,uncert_p_share,uncert_turnout,log_turnout_total,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
Sussex,24090.36443850401,42270.3995800588,2088.324856271503,68449.08887483431,0.36302120379092256,-0.5622751228561497,0.06639614567670936,0.049968792246632754,11.133845519814773,144221,116445,55393,0.8624930224569539,0.0203701318218901,0.0210571514448881,0.0022242260294559,0.0850358538365752,0.8554081325947872,0.34126840997896,0.1201769075529219,0.2185151788397956,0.0867077067499503,0.1183723575180979,0.2830140992544184,0.3603523910963479,0.1484844655461881,0.1073621709906775
Warren,16627.505300331566,28643.346363997593,1311.4220844514998,46582.27374878066,0.3672894299320878,-0.5438629076398752,0.05657801392938479,0.049968792246632754,10.74897535608941,109632,87819,43925,0.8186041744952687,0.047802867261071,0.0265318439062161,0.0019357997699814,0.0940570947061569,0.8364135323790979,0.3102517678406722,0.1042029629123538,0.228287728168164,0.1363232783153102,0.1478884462151394,0.3034490608992601,0.3065452475811041,0.1021286283437677,0.1187222029102273
Hunterdon,28621.659422912307,41355.720947226386,1815.3245390802376,71792.70490921893,0.40901301637072957,-0.36804701244389343,0.06327820713282024,0.049968792246632754,11.181538146938719,128947,104020,49134,0.8469044414535666,0.0253220534512593,0.0427802345702749,0.0019996154585656,0.0713997308209959,0.8557200538358009,0.485445106710248,0.2020572966737165,0.2346471832339934,0.067855252981642,0.1046932877437212,0.2230634591118166,0.3390320348434892,0.2638295274148247,0.1163691265840377
Morris,103604.89607650206,127326.58251655618,4670.346547837491,235601.82514089573,0.44863912320533855,-0.2061707135129494,0.06426124478426412,0.049968792246632754,12.369898477507558,509285,403593,188182,0.7166724893642853,0.0326616170250722,0.1115604086294856,0.0029658591700054,0.1372793878982043,0.8408396577740447,0.4958559737160952,0.2092033310785866,0.2152044262412876,0.080820694859232,0.0965235782380886,0.2269983314025783,0.3286871220414279,0.2654238981411612,0.4265568569380138
Passaic,78985.11513503367,59887.8499558129,3193.0831492043817,142066.04824005096,0.5687580378467757,0.2767857729565512,0.07542205682223499,0.049968792246632754,11.864047356895753,524118,403816,177446,0.4590977078669493,0.1098668700596311,0.0602725003466925,0.0113368464845375,0.4020841175188699,0.7329204390118271,0.2567307882798106,0.0826713156487112,0.1901138142124135,0.168924630591842,0.1704405847412734,0.2713726993000687,0.2660189578801438,0.1229838936916019,1.0879415134758132
Bergen,194821.44598363785,149486.8091984696,6247.114734979567,350555.369917087,0.5658343738537294,0.26487532131534613,0.04354696333852249,0.049968792246632754,12.76727394706603,955732,755234,350184,0.5853934012504733,0.0576629230145888,0.1665563255891551,0.0044039330856396,0.1990813443250701,0.8306392455848122,0.4578580943124912,0.1808538810487875,0.2176901463652324,0.105932880999703,0.1256196742284056,0.2258555502250245,0.3134238000593973,0.2287882941539305,1.5851537582493402
Hudson,118963.07747213592,28844.90734584909,3375.5085948041524,151183.49341278916,0.8048487882344818,1.4168797160587574,0.06340966859744658,0.049968792246632754,11.926249566217695,724854,582751,291037,0.3556973733206807,0.1064468357840655,0.1787195560367978,0.0094156852583693,0.3863862953474125,0.7811123447235612,0.4191224039083588,0.1716444931025429,0.1479139460936146,0.1724282479547274,0.1594195926978356,0.2489614722526689,0.2552012287097517,0.1637626830952765,6.057258893429267
Essex,174203.5435236134,49572.520213716765,3383.162809304842,227159.22654663498,0.7784726418643894,1.2567877536570602,0.04282990770323842,0.049968792246632754,12.333406489101943,863728,661508,312528,0.3172251885086801,0.3851351759918247,0.0559086209085906,0.0051805873851865,0.2297281363188351,0.7638940118638021,0.3225010128373353,0.1347149240825507,0.1775201509278799,0.2105763323606204,0.1782304305534224,0.2548891619310909,0.2107491168791276,0.1448222239287359,2.645082853301729
Union,108367.09319834782,60831.8697442313,3261.9710797105886,172460.9340222897,0.6404713794559382,0.5774106495723674,0.048918990197907554,0.049968792246632754,12.057926020369475,575345,440856,200245,0.4262979294826428,0.2065345600377447,0.0574087683960295,0.0065486235868401,0.3209324586713121,0.7751079717640227,0.3338278258660424,0.1322155080116863,0.186795688388045,0.1218157756747983,0.158206197408175,0.2786386676321506,0.2781292916177682,0.163005318484856,2.1618539463054467
Somerset,71889.65829289432,68845.8323264534,3226.2514120407036,143961.74203138842,0.5108139956490211,0.04326272910677728,0.07689470155372714,0.049968792246632754,11.877302862921285,345361,271204,126264,0.5666251235232519,0.0906845031784192,0.1858785268653854,0.0040449255910679,0.1507942360732142,0.8422110293358505,0.5003576643412339,0.2293955841359272,0.2023679591746434,0.0838322879047075,0.1062218843058987,0.2265966546283976,0.3115456503833238,0.2709006526008997,0.4417115377236625
Middlesex,150957.6940850188,106411.4413934216,6256.044651897038,263625.1801303374,0.58654155947796,0.3496865229176665,0.04224789525731738,0.049968792246632754,12.482283601063298,863162,680009,302676,0.4491793490968502,0.0962957843205016,0.2570907149758312,0.0046175859437154,0.2034355427648751,0.7888939705209784,0.3953212383953742,0.1619552094163459,0.1926062743287221,0.1101078380842881,0.136333901597748,0.2675336002854537,0.3253578083495222,0.1601877915658988,1.0778073297121809
Mercer,83318.67624484081,42510.23163441374,2719.7975525784022,128548.70543183295,0.6621584630202261,0.6729279373673852,0.04099474483104343,0.049968792246632754,11.764063142101381,387340,304672,138332,0.4950405682176242,0.1894890242621573,0.1221214945909043,0.0057438819451738,0.1915272817981304,0.770356317613696,0.3745634649721668,0.1730582396807058,0.196979046318664,0.1594641876066275,0.1457724893733915,0.2601205794754648,0.2736170951045311,0.1597605760055518,0.6663581515932968
Monmouth,127412.05457848054,169670.9728367883,6230.530603561406,303313.55801883026,0.42887692268054517,-0.286434749150717,0.05636150715804133,0.049968792246632754,12.62252239435523,643615,511670,246395,0.7600543318936033,0.0628784177301776,0.0562725975726542,0.003427990697129,0.1076084194891238,0.8353274571501162,0.4304239060331855,0.1675748040729376,0.2233978931733344,0.1087765579658678,0.1199902595426043,0.2249558635524259,0.3154325371862254,0.2300736622090545,0.5307814742120107
Ocean,97018.44449865857,171445.47489853154,5009.683390701401,273473.6027878915,0.36138355096842867,-0.5693641755365622,0.036119572281781545,0.049968792246632754,12.518960379871334,637229,482600,239880,0.8505698300870286,0.0298425196850393,0.0196643182760049,0.003300870285951,0.0920140903439701,0.8326854537919602,0.2892954828014919,0.0995772896808951,0.2901699129714049,0.1406411539102884,0.1865224278806069,0.2966858429214607,0.2764840753710188,0.099424712356178,0.3915917307357865
