,County,Baseline_R,Baseline_D,2023_Ssc_D,2023_Ssc_R,2022_Gov_D,2022_Gov_R,2022_Gov_O,2022_Sen_D,2022_Sen_R,2022_Sen_O,2020_Pre_D,2020_Pre_R,2020_Pre_O,2020_Ag_D,2020_Ag_R,2020_Ag_O,2020_Aud_D,2020_Aud_R,2020_Aud_O,2020_Tre_D,2020_Tre_R,2020_Tre_O,2018_Hou_D,2018_Hou_R,2018_Hou_O,2018_Gov_D,2018_Gov_R,2018_Gov_O,2018_Sen_D,2018_Sen_R,2018_Sen_O,2016_Pre_D,2016_Pre_R,2016_Pre_O,2016_Sen_D,2016_Sen_R,2016_Sen_O,2016_Ag_D,2016_Ag_R,2016_Aud_D,2016_Aud_R,2016_Aud_O,2016_Tre_D,2016_Tre_R,2016_Tre_O,2012_Ag_D,2012_Ag_R,2012_Pre_D,2012_Pre_R,2012_Pre_O,2012_Sen_D,2012_Sen_R,2014_Gov_D,2014_Gov_R,2006_Hou_D,2006_Hou_R,2008_Hou_D,2008_Hou_R,2010_Hou_D,2010_Hou_R,2008_Pre_D,2008_Pre_R,2006_Sen_D,2006_Sen_R,2004_Pre_D,2004_Pre_R,2000_Pre_D,2000_Pre_R,2010_Gov_D,2010_Gov_R,2010_Sen_D,2010_Sen_R,2008_Ag_D,2008_Ag_R,2008_Aud_D,2008_Aud_R,2008_Tre_D,2008_Tre_R,2006_Gov_D,2006_Gov_R,2004_Ag_D,2004_Ag_R,2004_Aud_D,2004_Aud_R,2004_Tre_D,2004_Tre_R,2004_Sen_D,2004_Sen_R,2002_Gov_D,2002_Gov_R,2000_Ag_D,2000_Ag_R,2000_Aud_D,2000_Aud_R,2000_Tre_D,2000_Tre_R,2000_Sen_D,2000_Sen_R,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
46,Montour,5831,3622.0,1705,2644,3639,4037,145,3212,4327,292,3770,5843,130,3940,5413,320,3373,5772,441,3558,5708,356,3071,3914,0,3225,3639,125,2964,3940,104,2856,5287,411,2899,5065,586,3325,5062,3022,4657,647,3308,4316,700,3505,3877,3053,4652,85,3121,4435,2122,2897,3103,2620,4212,3639,2449,3215,3348,4556,2704,3110,2666,4903,2356,3961,1812,3896,2065,3626,2532,5040,3614,3592,3315,4029,2764,3059,2504,4613,2840,4189,4058,3153,2123,4907,1847,2874,1931,4166,3176,2929,2290,3852,1927,4310,3987,5626,4223,5390,355.0,18136,14393,7456,0.9103036198151879,0.014659904120058362,0.035850760786493435,0.002014868338775794,0.022094073507955257,0.838880011116515,0.325158062947266,0.16111998888348503,0.26082123254359757,0.19125536480686695,0.2052038626609442,0.29037017167381973,0.2281384120171674,0.06437768240343347,0.05376321772976691
47,Northampton,85811,85972.0,39743,30208,72268,54928,2704,66565,59859,3562,85087,83853,1748,82628,77937,4834,76571,80729,6914,78974,79759,5874,90781,80377,5673,65748,47527,1602,62275,50385,1698,66274,71736,5511,64150,72171,3566,68031,67041,62220,67505,4804,66441,62937,4660,68241,54293,67676,61382,1470,67080,60134,41223,33862,38211,41512,53499,74986,33911,42817,74820,58062,48418,34644,59659,58798,52317,47043,38870,45986,40321,44209,78627,47794,70569,48405,67163,52416,53007,30081,54147,55171,53658,51523,64829,43471,47859,61248,42238,28158,43750,48504,56099,37319,45420,47051,42433,53670,85862,83078,86827,82113,4688.0,312951,251676,120189,0.7913189974411545,0.05617937348018882,0.03204119582320126,0.002554872137192263,0.11860884629444206,0.8027702283888809,0.2879019056246921,0.11049523991163242,0.23676870261765126,0.13178410669861634,0.18816197821764055,0.30400452620456114,0.28317899308588973,0.08930101756400337,0.3267537311095287
48,Northumberland,29717,11722.0,6316,11943,12052,19094,1805,10812,20991,1048,12703,28974,398,14036,26352,1354,11712,27579,2100,12283,27663,1605,9486,18885,0,12130,16111,312,10519,17913,12,9787,25427,1407,11116,21825,2592,13051,21984,11678,20138,3049,12612,18932,3147,14782,15949,12448,18991,668,12562,18727,10550,10507,14607,11419,19298,14631,11344,14368,14326,19014,13138,13303,14591,22235,13641,18106,8342,17797,9813,16013,10282,21765,15157,14801,14903,15986,13467,13139,11915,21437,13747,18519,19265,14900,11034,22138,10771,14477,10351,18803,15722,14119,12334,17850,11205,19127,13158,28519,13315,28362,1661.0,91647,73275,37350,0.9172296144660526,0.02767656090071648,0.0047355851245308766,0.0017877857386557488,0.03525076765609007,0.818287273967929,0.1623063800750597,0.04547253497099966,0.264373933810986,0.22511378848728247,0.2625435073627845,0.30096385542168674,0.17633199464524765,0.023453815261044175,0.07731744807792572
49,Perry,18621,5923.0,3082,7866,6912,12928,381,5646,13956,629,5950,18293,385,6225,17470,737,5065,18078,1087,5436,17918,924,4492,12577,185,5905,10915,512,5185,11607,539,4632,15617,910,4962,14899,1231,5552,15202,6328,13155,1315,5453,13665,1540,6621,11477,5583,12933,254,6063,12240,4344,8679,5615,8741,7372,11937,4651,9856,6396,13059,5719,8728,5285,13688,4135,10578,3019,11568,3566,10972,3742,15222,7042,10992,6790,11621,4477,9999,5227,12950,5318,12297,9199,8868,3979,12863,3203,8761,3133,11209,5693,8754,3664,10612,3813,10534,5897,18346,5717,18526,914.0,45842,35917,17826,0.9495225102319236,0.0065707046802349865,0.003591613998942005,0.0011415207283459086,0.015424450817161789,0.8122894451095581,0.1635158838433054,0.052788373193752264,0.2386892001002311,0.13973970604734656,0.18243015819589364,0.34786267250084146,0.2692135083585774,0.0415684954560754,0.032096756576607356
50,Philadelphia,123689,573752.0,247042,45902,426886,65293,6082,412246,78385,7899,604176,132870,4854,572158,117140,19536,555315,122995,23286,561439,122763,20992,477118,70092,37,484124,64514,5626,481467,66653,6484,584026,108747,14857,560421,116714,8030,572324,103042,545851,103584,17638,558951,93425,16596,560116,84215,588190,96465,5054,564598,84452,332726,45349,340953,45646,572639,90903,353722,51009,595265,117131,356617,67405,538813,129473,450563,100856,349735,72207,357261,67875,517478,127035,553852,90093,541945,101801,382882,45467,498108,116745,490961,106697,521476,90112,449153,180878,337930,59096,395949,107058,432814,76441,398175,108087,398046,121199,575541,161505,546663,190383,12077.0,1603797,1278362,655757,0.3956164216395669,0.3761094275330462,0.08565727078871244,0.003695353898191592,0.13105677421575423,0.7485454041969333,0.2887179061955847,0.12647200088863716,0.17257553024886535,0.2683539786841772,0.21012204215890948,0.276424041222587,0.17936369722320922,0.0653046784098378,4.608228049961354
51,Pike,20462,13273.0,5606,6895,10340,14371,296,9821,14792,505,13051,19242,185,12502,18578,1045,11802,18821,1309,11964,18973,1080,8711,12029,0,9074,11408,207,8696,11771,198,9256,16057,789,9329,15193,1113,9659,15591,8811,14674,1659,9154,14317,1654,9672,11559,10209,12786,179,10080,12268,5365,7553,7174,6568,10809,9802,5957,9236,11492,12518,6718,7208,8657,12444,7330,9340,5471,9894,5627,9678,10038,12852,10968,10771,10783,11883,7393,6551,7662,12136,7956,11551,8968,10769,6977,12775,4049,6482,6173,9467,7514,8318,6435,8972,6137,9856,13577,18716,14058,18235,935.0,58535,47447,23482,0.8249625898370814,0.053048664826016396,0.01445823761249394,0.003751554365924084,0.09680274832971526,0.8629418087550319,0.24806626340969926,0.09910004847514069,0.27533879908107994,0.16216676603355762,0.17489992334554127,0.3331062090111575,0.260625159696789,0.054169150838940465,0.04147756059366021
52,Potter,7084,1682.0,1023,3579,1512,5234,357,1414,5485,177,1725,7239,39,1663,7047,186,1436,7085,337,1494,7157,195,1417,4809,0,1451,4686,58,1537,4564,53,1301,6250,220,1386,5989,323,1571,5968,1360,5752,418,1434,5602,496,2132,4681,1897,5232,50,1950,5036,1523,3139,1612,3879,2055,5102,1010,4156,2299,5110,2024,3523,2267,5640,1952,4601,1257,4053,1370,3919,1961,5102,2476,4337,2200,4714,2035,3498,2211,5291,2301,5027,3054,4349,1692,5599,1290,3302,1849,4286,2492,3643,1899,4252,1630,4770,1800,7164,1816,7148,242.0,16396,13140,6359,0.9561643835616438,0.0025875190258751904,0.0043378995433789955,0.001902587519025875,0.011872146118721462,0.8114916286149163,0.14505327245053273,0.04254185692541857,0.3002283105022831,0.20301934266394087,0.27976096870577133,0.3337002673376317,0.13681396445982072,0.009749960685642397,0.005854813062703562
53,Schuylkill,48289,21574.0,11171,22080,21202,33009,1123,17953,35293,2166,20727,48871,785,23999,43446,2252,19849,45666,3635,20643,46021,2711,18500,29939,13,21178,26639,1428,17690,30451,939,16770,44000,2098,19539,37757,4832,22380,38759,21102,35372,4423,23127,32795,4860,29273,26156,24544,32277,654,24637,31623,20543,17166,30004,8896,39635,12897,29765,15754,23056,28698,20675,18219,23431,29993,20931,25114,16534,28657,18377,26346,18592,31529,25615,22202,25662,23411,21352,17679,21208,30200,23275,26803,32488,19037,16913,32782,20098,19053,16271,28396,24573,20282,18365,26838,16896,28631,21006,48592,21092,48506,2684.0,143049,115932,56650,0.9074974985336232,0.033071110651071316,0.005606734982575993,0.001621640271883518,0.044094814201428426,0.8054549218507401,0.15991270744919436,0.048028154435358655,0.24899078770313632,0.20229479258605473,0.23067961165048545,0.32879082082965577,0.20118270079435127,0.025136804942630184,0.07093696459077689
54,Snyder,14494,4760.0,2164,5025,4866,10215,212,4219,10657,449,4910,13983,141,5255,13115,478,4220,13634,826,4412,13732,626,3582,9695,4,4834,8284,150,4321,8826,163,4001,11726,636,4299,10866,1116,4742,11232,4232,10398,1190,4615,9876,1304,5402,8844,4686,10072,200,4650,9851,3982,5772,4815,6245,6566,8536,3791,7375,5381,9900,4136,7147,4090,10234,3328,8640,2711,8591,3148,8073,3318,11218,5279,8523,4757,9351,4072,7203,3451,10046,4047,9162,6156,7214,3183,9659,2420,6415,2159,9283,4168,7285,3183,8344,2753,8871,4352,14541,4165,14728,648.0,39736,31144,14300,0.9462496789108656,0.013903159517081942,0.007834574877986129,0.0012843565373747753,0.020935011559208835,0.7362252761366556,0.18302080657590547,0.06755715386591318,0.23911507834574877,0.15776223776223777,0.22538461538461538,0.3683916083916084,0.19531468531468532,0.03825174825174825,0.04666265050337088
55,Somerset,31483,8061.0,4469,15522,9474,22559,380,7660,23964,860,8654,31468,246,9929,29482,815,7777,30676,1560,9041,30043,1029,6962,21571,0,9137,19019,398,9320,18896,220,7376,27380,1018,8340,25472,1923,10561,24551,10929,22525,1760,10793,22120,2168,14123,18149,9436,23985,532,10866,22192,9790,13380,13051,14396,6348,14146,8006,17725,12879,21688,14054,13391,12842,23803,12028,20218,7294,18543,8488,17210,10434,23322,18059,14590,14978,18030,12499,15028,14068,21409,16141,18824,22484,12945,11618,21941,8088,16244,10843,20895,15777,15827,14297,17320,13130,19028,8166,31956,7325,32797,1045.0,74129,60695,28875,0.9359914325726996,0.029804761512480436,0.0027514622291786805,0.0008896943735068786,0.01232391465524343,0.8185023478045967,0.15302743224318313,0.0501853529944806,0.27017052475492215,0.1997922077922078,0.25156709956709955,0.34354978354978355,0.17014718614718616,0.018666666666666668,0.02662349672903322
56,Sullivan,2628,958.0,545,1331,1023,1922,42,868,2023,121,920,2619,24,1071,2378,74,866,2463,166,882,2519,90,824,1878,0,976,1661,33,961,1719,21,750,2291,70,867,2020,206,995,2040,952,1886,189,1005,1816,211,1231,1543,1033,1868,53,1049,1803,778,1325,1252,1243,1670,1392,961,1358,1233,1841,1181,1350,1213,2056,1066,1928,681,1653,753,1561,895,2034,1270,1505,1270,1582,1264,1276,1075,2002,1149,1835,1575,1526,911,2055,856,1441,876,1956,1309,1549,992,1868,897,2046,927,2612,885,2654,109.0,5840,4857,2335,0.9392629194976323,0.014000411776816966,0.0030883261272390363,0.0018529956763434219,0.014823965410747375,0.8972616841671814,0.1789170269713815,0.04776611076796376,0.3343627753757463,0.1931477516059957,0.26038543897216276,0.291220556745182,0.1841541755888651,0.014132762312633832,0.0050114086778033215
57,Susquehanna,15209,6196.0,3071,7043,5767,11153,305,5244,11519,546,6235,15206,216,6466,14368,606,5559,14746,951,5691,14935,736,4814,10983,0,5273,10237,169,5520,10113,151,5123,13357,850,5535,11997,1716,6149,12787,5623,11740,1515,5989,11220,1673,7629,8952,6596,10513,302,6741,10277,4069,7616,7496,7588,11335,7790,6037,7984,8381,10633,7318,7786,7351,11572,6481,10225,4394,9616,4859,9140,6135,12091,7977,9204,7696,10171,8239,6873,6314,11941,6537,11271,9826,8341,5288,12385,4243,8175,4808,11436,7559,8698,6081,10144,5344,11206,6173,15268,5896,15545,803.0,38434,30923,15245,0.9478705170908386,0.0034278692235552824,0.003686576334767002,0.0017786113895805712,0.017171684506677876,0.8352035701581347,0.1777964621802542,0.06040811046793649,0.29104550011318436,0.1870121351262709,0.2249918005903575,0.3279763857002296,0.20039357166284028,0.04093145293538865,0.018020146893688447
58,Tioga,15753,4899.0,2748,7764,4494,11840,243,4103,11988,541,4954,15742,351,4736,15331,666,4154,15431,1018,4250,15647,774,3733,10949,0,3991,10472,269,4145,10242,260,3900,13614,810,3991,13417,764,4408,13491,3758,12886,1225,3985,12389,1467,5354,10583,5311,11238,264,5214,11074,3508,7870,4051,8154,5816,11330,2648,8945,6389,11326,4802,7591,5389,11907,4568,9534,2932,9068,3351,8650,5080,11826,6134,10222,5620,11114,5081,7306,4908,11337,4994,10810,6926,9187,3819,11880,3241,7614,3885,9432,5405,8125,3832,9378,3809,10082,5023,15673,4905,15791,719.0,41045,32720,16336,0.9443459657701712,0.008710268948655257,0.005103911980440098,0.002047677261613692,0.01301955990220049,0.8172371638141809,0.18484107579462103,0.0691320293398533,0.27613080684596575,0.21259794319294809,0.2442458374142997,0.32296767874632715,0.18492899118511263,0.017262487757100882,0.013977381467241949
59,Union,12776,7610.0,3833,5493,6898,8897,283,6249,9400,444,7474,12356,240,7613,11700,560,6655,12354,776,6761,12437,661,5424,8952,5,6426,7676,292,5900,8318,31,6180,10621,666,6092,10567,841,6521,10606,6026,10224,1036,6387,9797,1037,6650,8831,6113,9904,213,6116,9600,4725,5420,5527,5789,8509,8333,4663,7028,7333,9859,4876,6614,5699,10333,4208,8523,3668,8121,4059,7618,5139,11139,7074,8628,6579,9449,5005,6503,4959,10138,5330,9509,7345,7662,4743,9995,3152,6057,3042,9205,4934,7153,3828,8360,3467,9040,7445,12385,7381,12449,599.0,42681,34680,14218,0.8676182237600922,0.0682237600922722,0.02029988465974625,0.0024798154555940024,0.04483852364475202,0.7315743944636678,0.22214532871972317,0.10530565167243368,0.23194925028835064,0.17801378534252357,0.24011816007877337,0.29568153045435364,0.21437614291742862,0.06358137572091714,0.05215711290015104
60,Venango,18308,7267.0,4122,7993,7776,12740,309,6777,13405,671,7584,18569,282,8627,16856,743,6547,18061,1471,7026,17995,1053,5934,12543,0,7430,10856,261,6944,11210,285,6309,16021,1018,6988,14582,1638,7741,15208,7437,13880,1552,7733,13418,1709,9132,11442,7837,13631,488,7718,13415,6285,7644,6030,11345,8765,13252,4013,11086,9237,13718,8501,9042,8862,14120,8271,11445,4954,10937,5596,10146,6894,15318,10750,10562,9198,12594,7905,9741,7789,13930,9174,12194,12205,9849,6624,13839,5358,8978,7415,11471,9635,9196,8286,10659,7724,11544,7301,18852,6931,19222,930.0,50454,40320,20895,0.9490823412698413,0.007638888888888889,0.0035714285714285713,0.0017113095238095238,0.008134920634920636,0.847718253968254,0.17876984126984127,0.058407738095238096,0.2855406746031746,0.2001914333572625,0.23732950466618807,0.3467815266810242,0.19191194065565925,0.009858817899018903,0.02889096686305622
61,Warren,13694,6095.0,2437,5473,6032,9704,302,5420,10174,497,6065,14236,347,6041,13418,713,5304,13637,1121,5679,13591,891,4770,9660,0,5446,8765,230,5390,8733,183,5144,12478,812,5123,12130,958,5812,11843,5155,10935,1492,5666,10378,1532,6934,8886,6994,10009,406,6431,10135,4965,6193,4217,7982,8103,10401,4336,7621,8537,9685,6677,6325,8040,10984,7537,9289,3996,8194,4493,7615,6483,10587,8564,7798,7950,8860,7278,5846,6326,10644,6997,8992,8916,8112,5275,11420,4822,6822,5521,9163,7632,7141,6613,8614,5564,9972,5835,14466,5511,14790,767.0,38587,31105,16012,0.9521620318276804,0.00353640893746986,0.004211541552805015,0.002153994534640733,0.008262337244815947,0.8517601671756952,0.176466805979746,0.06082623372448159,0.28751004661629964,0.19048213839620284,0.26592555583312516,0.34193105171121657,0.16387709218086435,0.02398201348988259,0.01684802589008068
62,Washington,73200,44239.0,24228,29947,45030,47052,1466,39684,52336,1815,45086,72073,1124,50568,63842,2982,41991,69539,4808,44438,68207,3921,33599,45309,8,39896,40659,1925,39217,41954,1235,36321,61379,3741,38131,56947,5823,43356,56016,46617,47968,4934,44381,49217,5479,47364,41973,40278,53179,1085,43638,48006,28297,30362,34152,37911,41768,55573,21460,25161,46024,50955,43338,29700,47503,47268,45085,37780,28326,42483,31824,38329,36981,56213,60147,30757,51630,39843,38716,34666,45941,45447,55554,34493,62925,28310,39962,45913,30498,28671,37833,43457,52750,27185,43413,37758,42903,37409,44130,73029,43515,73644,3403.0,209349,169191,86195,0.9125248978964602,0.03289773096677719,0.009657724110620542,0.0014717094880933384,0.015970116613767873,0.8365515896235616,0.28429999231637615,0.10086233901330449,0.25403242489257705,0.1551134056499797,0.20264516503277452,0.3054585532803527,0.2542142815708568,0.07624572190962353,0.09431622102583741
63,Wayne,18879,9432.0,4196,7168,8466,13867,336,7668,14425,618,9190,18636,136,9616,17282,686,8215,17906,1219,8347,18212,863,7549,12541,0,8023,11751,172,7625,12269,150,7007,16244,766,7487,14537,1803,8154,15155,7467,13984,1751,7789,13608,1800,9956,10724,8396,12896,233,8791,12276,6087,7621,7575,8047,11620,10833,6249,9473,9891,12703,7294,8399,8060,13714,6905,11200,5087,10748,5425,10348,7197,14314,9376,10932,9309,11656,8143,7634,6671,13408,6797,12779,9935,10355,6102,14128,4395,8117,4805,11701,7690,9224,5997,10617,5526,11762,9429,18397,9592,18234,908.0,51155,42587,19398,0.9008852466715195,0.03752318782727123,0.008500246554112757,0.0022072463427806606,0.040082654331133914,0.8362176250968606,0.18153427102167327,0.0705379575926926,0.2880456477328762,0.17604907722445612,0.24909784513867408,0.34384988143107537,0.1843489019486545,0.02639447365707805,0.027213985823511012
64,Westmoreland,132041,72179.0,40182,51220,77153,87804,3012,66240,98238,3531,72178,130272,2248,83276,114886,4770,68233,124902,7753,71660,123352,6142,59829,85587,0,67936,76110,2144,63765,79062,2384,59659,116500,5858,62968,107513,9742,71593,105159,76257,90575,9278,73069,92389,9756,78659,81671,63558,103621,1717,69263,94926,43955,57717,59675,68304,72469,99897,44342,78874,72570,101928,70871,60160,77535,99770,71646,80665,40350,84461,48231,75717,59441,108122,100473,63134,84616,79611,60036,69580,70270,92515,87960,70093,104120,59064,66703,86096,48981,58007,58551,82307,82052,58752,71753,73298,70214,79996,71530,130920,71017,131433,5673.0,354663,289614,152258,0.9308113558046227,0.02301339023665983,0.00894984358490957,0.0011394476786343202,0.011781198422728184,0.8627863293901538,0.2797309522329722,0.10017816818247736,0.2780977438935963,0.18283439950610147,0.21286237833151625,0.31260097991566943,0.22882869865622824,0.05746824468993419,0.13324459452148665
65,Wyoming,9679,4669.0,2152,4324,4519,6966,292,4059,7339,382,4705,9936,208,5077,9152,420,4163,9647,696,4268,9745,494,3567,6980,0,4101,6344,211,3868,6582,159,3811,8837,496,4154,7844,1068,4459,8354,4059,7579,1129,4307,7467,989,5267,5493,4944,6478,214,4867,6077,3439,4317,4327,5896,7551,5399,3962,4925,5984,6948,4590,5635,4981,7782,4363,6822,3016,5901,3283,5569,3871,8495,5720,5925,5550,6582,5518,4726,4006,8334,3873,8192,6795,5502,3297,8460,2938,5152,2861,8068,5064,5852,3941,7015,3356,7857,4753,9888,4698,9943,554.0,26069,21073,10459,0.9433872728135528,0.009728088074787642,0.004555592464290798,0.001613438997769658,0.017083471741090494,0.8262231291225739,0.18535566839083187,0.06278175864850757,0.2630854648127936,0.16253943971699014,0.22506931829046753,0.3483124581699971,0.2210536380151066,0.027822927622143608,0.02532930821227688
66,York,146406,92299.0,35434,50481,83650,98622,4205,71928,109630,4991,88113,146733,3624,86021,142524,7143,77689,145986,10973,79196,146414,9238,66210,102677,9,75312,90589,3263,69271,95813,3798,68524,128528,8934,69394,126349,10271,73708,129905,82696,110020,11257,69686,118646,14199,81449,99685,73189,113300,3506,74679,108016,52385,69602,42895,80457,66013,125359,29985,94164,82838,109268,56470,69270,63549,114043,51892,87477,38034,92482,42039,88394,58816,126108,80690,97241,79840,102597,55275,70591,56264,109690,56989,103475,78089,87770,51521,108299,33247,63893,38225,93645,61024,73718,44845,88606,46093,88853,90573,144273,92727,142119,8104.0,456438,356368,177587,0.8430442688456876,0.05588043819871594,0.014518699771023212,0.002418847932474296,0.07021113006779509,0.8123653077717415,0.23134793247429622,0.08329311273739505,0.22502581601041619,0.13751006548902792,0.19372476588939505,0.3398334337535968,0.2678912307770276,0.05777449925951787,0.1948671052092299
