,County,Baseline_R,Baseline_D,2023_Ssc_D,2023_Ssc_R,2022_Gov_D,2022_Gov_R,2022_Gov_O,2022_Sen_D,2022_Sen_R,2022_Sen_O,2020_Pre_D,2020_Pre_R,2020_Pre_O,2020_Ag_D,2020_Ag_R,2020_Ag_O,2020_Aud_D,2020_Aud_R,2020_Aud_O,2020_Tre_D,2020_Tre_R,2020_Tre_O,2018_Hou_D,2018_Hou_R,2018_Hou_O,2018_Gov_D,2018_Gov_R,2018_Gov_O,2018_Sen_D,2018_Sen_R,2018_Sen_O,2016_Pre_D,2016_Pre_R,2016_Pre_O,2016_Sen_D,2016_Sen_R,2016_Sen_O,2016_Ag_D,2016_Ag_R,2016_Aud_D,2016_Aud_R,2016_Aud_O,2016_Tre_D,2016_Tre_R,2016_Tre_O,2012_Ag_D,2012_Ag_R,2012_Pre_D,2012_Pre_R,2012_Pre_O,2012_Sen_D,2012_Sen_R,2014_Gov_D,2014_Gov_R,2006_Hou_D,2006_Hou_R,2008_Hou_D,2008_Hou_R,2010_Hou_D,2010_Hou_R,2008_Pre_D,2008_Pre_R,2006_Sen_D,2006_Sen_R,2004_Pre_D,2004_Pre_R,2000_Pre_D,2000_Pre_R,2010_Gov_D,2010_Gov_R,2010_Sen_D,2010_Sen_R,2008_Ag_D,2008_Ag_R,2008_Aud_D,2008_Aud_R,2008_Tre_D,2008_Tre_R,2006_Gov_D,2006_Gov_R,2004_Ag_D,2004_Ag_R,2004_Aud_D,2004_Aud_R,2004_Tre_D,2004_Tre_R,2004_Sen_D,2004_Sen_R,2002_Gov_D,2002_Gov_R,2000_Ag_D,2000_Ag_R,2000_Aud_D,2000_Aud_R,2000_Tre_D,2000_Tre_R,2000_Sen_D,2000_Sen_R,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
36,Lawrence,29439,16015.0,8611,12388,15918,19470,615,13658,21384,913,15978,29597,363,18730,25390,1158,15436,27375,2105,16631,26976,1432,13553,18244,219,15035,16717,416,14325,17374,344,14008,25427,1315,15289,22675,2317,17164,22637,17274,20209,2173,17793,19520,2313,20217,18153,17904,21880,435,18994,20158,11977,11058,14400,11769,20008,14207,15265,12513,15314,18740,14463,11613,16327,18753,15531,15381,11497,16482,12314,15487,13351,19556,19260,12739,17238,15227,13699,12450,15354,18055,18393,14204,22204,10948,13890,17622,11167,11080,13616,16055,18608,11094,15543,14244,15941,15026,14899,30676,13823,31752,1333.0,86070,69056,36035,0.9084511121408712,0.03756371640407785,0.0038519462465245596,0.0011584800741427247,0.01494439295644115,0.8225932576459685,0.19203255329008342,0.05547671455050973,0.272532437442076,0.21751075343416124,0.2551408352990148,0.30897738309976414,0.1845705564034966,0.026668516719855696,0.09299034119146914
37,Lebanon,47171,23608.0,10691,18872,23647,31731,1037,19694,35023,1773,23932,46731,815,23755,44715,2122,20816,46259,3095,21669,45942,2615,27049,50114,749,20164,28101,721,18373,29841,782,18952,40525,2367,19079,39386,3060,20372,40062,21268,35898,3312,19754,36577,3769,22367,31548,19900,35872,610,21007,33843,13629,22738,23093,15921,30175,26909,18843,20852,23310,34314,17736,21755,18033,36963,16066,28478,10339,29534,12037,27880,15450,39946,22856,30410,23007,31202,16813,22774,15723,35119,15674,32973,24700,25956,13182,35336,12711,22658,11607,30266,17900,24963,13742,29014,14517,28323,24087,46576,24135,46528,2238.0,143257,111234,55211,0.8502436305446176,0.020326518870129637,0.015471888091770502,0.0018339716273801177,0.11799449808511786,0.7758598989517593,0.19591132207778197,0.07056295736914972,0.2494650916086808,0.15149155059680136,0.21892376519171905,0.34565575700494466,0.2346452699643187,0.04227418449222075,0.15286633039495742
38,Lehigh,84535,97004.0,41852,31563,79990,53468,2825,73096,59220,3986,98498,84418,1850,96028,79663,5719,88859,83302,8347,91615,82223,6629,139571,108541,8703,77248,49072,1974,73632,52577,1878,81323,73691,5979,77233,76216,6627,84421,71740,75609,70137,9321,80180,65610,9286,80112,59202,77983,66371,1449,79526,62071,44657,36893,38427,51226,60668,85250,37882,51190,86219,62484,53291,38879,72573,69192,56302,55129,42802,51976,44916,49594,82034,59982,80652,53823,76526,59412,58673,34218,63950,65416,63146,61993,76372,52004,57526,72789,47851,34523,45777,57233,61108,43204,48201,56080,44871,62603,98089,84827,98114,84802,5985.0,374557,291935,143235,0.690136502988679,0.06736088512853888,0.03645674550841797,0.003706304485587545,0.2235086577491565,0.7856543408635484,0.27614366211656705,0.10599619778375323,0.2136400226077723,0.1556183893601424,0.20682095856459665,0.3051279366076727,0.24815862044891263,0.07858414493664258,0.41872166792431736
39,Luzerne,87108,63346.0,28009,34172,57599,56327,1994,51503,61979,2841,64873,86929,1117,73215,72942,3911,62388,78967,6470,65792,77185,4817,53554,53922,2,55735,50702,1031,49200,58041,606,52450,78688,3844,56478,66551,8650,63192,64010,61419,57039,8462,63150,55192,8337,69171,43860,62449,57531,1565,65049,52178,40281,31919,59437,25979,67450,66493,42412,51242,72493,61128,52555,34675,46196,46256,40773,37219,43392,49735,46566,45314,56836,67427,75362,40567,73399,46376,59042,28436,38175,43646,39215,39404,55029,30132,33884,50512,29732,27482,28730,39787,44299,26273,35128,33353,33637,39384,65987,85815,67378,84424,4494.0,325594,262455,131816,0.8232535101255454,0.04340172601017317,0.012238288468499363,0.0023356384904078794,0.11772303823512602,0.7972414318645101,0.21280219466194206,0.08106532548436875,0.24375988264654894,0.2099365782606057,0.23901499059294776,0.31304242277113553,0.19615221217454634,0.03661922680099532,0.14130751790680476
40,Lycoming,40986,16407.0,7352,17421,15597,29660,653,13535,31074,1478,16971,41463,562,18009,39124,1686,15583,40513,2506,15913,40644,1818,12063,28865,2,14730,25570,486,13893,26488,425,13020,35627,1918,14187,33015,3365,15685,34401,15396,31764,2740,15974,30372,3437,18493,25474,15120,30485,604,16096,28854,10946,20002,15078,20113,20422,25925,10553,22467,18380,30281,14155,21731,17080,33960,14628,27068,9277,25153,10251,23944,14699,32237,19480,25645,19042,27270,14776,21116,14662,31902,14920,30671,21259,25529,12878,31153,9936,20750,10421,28268,16995,22006,13055,25716,11033,28773,17207,41227,17255,41179,1784.0,114188,90800,45392,0.89818281938326,0.04758810572687225,0.008094713656387665,0.002026431718061674,0.01713656387665198,0.8045044052863436,0.2146035242290749,0.07026431718061674,0.24451541850220265,0.18906415227352838,0.24154035953471978,0.3431882270003525,0.187169545294325,0.026921043355657384,0.03587597797448454
41,McKean,13921,5019.0,2275,5101,4392,10082,191,4135,10076,440,5097,14082,285,4968,13623,546,4355,13776,929,4538,13909,630,3489,9064,0,3898,8511,90,3972,8285,143,4025,11635,636,3986,11530,605,4288,11502,3814,10904,1025,4018,10583,1121,5509,8662,5297,9545,212,5355,9250,2944,5310,3660,7189,5743,9307,2408,7222,6465,9223,5002,5927,6293,10940,5509,9662,2763,7117,3107,6801,5235,9721,6217,8125,5985,8687,5043,5889,5143,10278,5467,9552,6720,8832,4340,11078,3214,6372,4328,9119,5945,7612,4403,9497,4304,9803,4927,14252,4703,14476,576.0,40432,32321,15712,0.9262089663067355,0.025587079607685404,0.005228798613904273,0.0027226880356424617,0.013891896909130287,0.8237987686024566,0.17347854336190094,0.0602085331518208,0.2404009776925219,0.23491598778004075,0.24064409368635437,0.3245926680244399,0.1622326883910387,0.02450356415478615,0.01593450269903645
42,Mercer,36871,19326.0,9937,14552,18282,26272,627,17080,27048,1223,21066,36142,600,21504,33957,1578,19082,35029,2548,19930,34898,1943,17841,22798,317,18199,22210,573,18135,22290,528,18732,31544,2032,19192,30566,2046,20815,30031,19720,27843,3176,19874,27561,3171,25314,22648,24232,25925,830,24314,24772,14390,15396,19648,17014,28670,24222,15981,20230,26410,26564,21640,16273,24830,26311,23816,23132,15046,21146,16000,20095,23480,26998,28676,20557,26293,23692,19888,18237,23138,24951,25805,22681,30231,19411,21511,26401,14159,16429,20315,23056,25900,17977,21922,21773,22191,23157,19936,37272,18642,38566,1706.0,110652,89028,45799,0.8985937008581569,0.053792065417621424,0.0060767399020532865,0.0014152850788515972,0.011063934941816058,0.796446061913106,0.2030484791301613,0.0681134025250483,0.2706451902772162,0.22642415773270158,0.24878272451363567,0.30869669643442,0.1819253695495535,0.02360313543963842,0.06352603601829562
43,Mifflin,16806,4481.0,2263,6316,5119,11460,236,3965,12264,557,4604,16670,158,4864,15838,491,4034,16113,857,4368,16057,670,3346,10962,0,4404,9758,155,4189,9936,215,3877,14095,630,4031,13089,1093,4689,13161,4521,12156,1111,4471,12082,1167,5976,8973,4125,11196,99,4737,10433,3360,6833,4199,7724,5142,10896,2470,9486,5375,10928,5247,7097,4888,11725,4834,9400,2587,9642,2974,9181,3741,12280,6007,9420,5825,9934,4729,7642,4367,11387,4700,10615,7389,8236,3982,11380,3362,7121,3559,9969,5461,8297,4259,9540,4020,9767,4311,16963,3963,17311,633.0,46143,36057,18621,0.955847685608897,0.007488143772360429,0.003965942812768672,0.001497628754472086,0.01603017444601603,0.766092575644119,0.11920015530964861,0.037773525251684835,0.2718196189366836,0.1816766016862682,0.25680683099726115,0.3887009290585898,0.15165673164706514,0.014499758337361043,0.04334320249183728
44,Monroe,38751,43750.0,17310,14941,32009,25604,1149,30251,26746,1733,43330,38125,877,43059,35383,2628,40091,36615,3895,40869,36682,3032,30515,23972,368,32065,22530,696,30626,23967,667,33918,33387,2448,34281,30743,1768,34482,30396,32084,30051,2518,34251,27890,2517,34297,23502,35220,26866,755,33502,25578,19864,15046,22226,12174,36271,28538,18143,20954,39453,28293,19861,15555,27966,27970,21762,23101,18082,21162,18920,20295,32903,29242,36686,23575,35897,24883,21430,14070,24032,27100,24446,25694,29268,21999,22354,29943,14569,15257,16971,24299,22370,19345,18498,22434,17251,25394,43852,37603,44508,36947,2183.0,168327,134271,59612,0.6882498826999128,0.13835452182526384,0.024852723223927727,0.0039621362766345675,0.1474331761884547,0.7903940538165353,0.2308242286122841,0.09046629577496258,0.22173067899993298,0.14461853318123868,0.18677447493793195,0.3324498423136281,0.27320002684023353,0.058461383614037445,0.10683114627997838
45,Montgomery,181895,323177.0,164913,86261,285713,121289,6015,260207,143078,9670,319510,185459,5186,312623,178192,13339,284479,195034,21058,296700,189211,16179,228754,126420,11,256222,119506,5099,248454,126516,5802,256083,162730,15874,237352,189573,5431,254709,174427,229622,183243,9462,244045,170719,8900,232166,165426,234188,175544,4482,236325,164615,156485,105110,175049,109227,233848,166146,148730,136982,253546,165960,180441,110958,219181,173217,176632,144555,149074,139243,155407,131954,200901,198351,232449,161412,217311,177997,209645,82568,192708,179064,193017,167788,218876,148053,173494,200970,172761,81271,138494,165942,173574,131910,141540,162521,139452,173200,320831,184138,322219,182750,10340.0,856553,674024,330292,0.7560873203328071,0.09264506901831389,0.07812036366657567,0.002022183186355382,0.052898709838225345,0.848373351690741,0.4551440304796268,0.19846919397528873,0.22614179910507637,0.10033848836786843,0.1354044300194979,0.26725140178993134,0.3102043040703378,0.18638356363460212,0.6847794890653918
