,County,Baseline_R,Baseline_D,2022_SSe_D,2022_SSe_R,2022_Sen_D,2022_Sen_R,2022_Sen_O,2022_Sup_D,2022_Sup_R,2022_Sos_D,2022_Sos_R,2022_LtG_D,2022_LtG_R,2022_Lab_D,2022_Lab_R,2022_Ins_D,2022_Ins_R,2022_Gov_D,2022_Gov_R,2022_Gov_O,2022_Ag_D,2022_Ag_R,2022_Ag_O,2021_Psc_D,2021_Psc_R,2021_Sen_D,2021_Sen_R,2018_SPs_D,2018_SPs_R,2018_SSo_D,2018_SSo_R,2018_Sup_D,2018_Sup_R,2018_LtG_D,2018_LtG_R,2018_Gov_D,2018_Gov_R,2018_Ag_D,2018_Ag_R,2020_Hou_D,2020_Hou_R,2020_Pre_D,2020_Pre_R,2020_Sen_D,2020_Sen_R,2020_Psc_D,2020_Psc_R,2016_Psc_D,2016_Psc_R,2016_Sen_D,2016_Sen_R,2016_Pre_D,2016_Pre_R,2014_Psc_D,2014_Psc_R,2014_Psc_O,2014_Sen_D,2014_Sen_R,2014_Sen_O,2014_Sos_D,2014_Sos_R,2014_LtG_D,2014_LtG_R,2014_Ins_D,2014_Ins_R,2014_Ins_O,2014_Gov_D,2014_Gov_R,2014_Gov_O,2014_Ag_D,2014_Ag_R,2014_Agr_D,2014_Agr_R,2012_Psc_D,2012_Psc_R,2012_Pre_D,2012_Pre_R,2010_Ag_D,2010_Ag_R,2010_Ag_O,2010_LtG_D,2010_LtG_R,2010_Gov_D,2010_Gov_R,2010_Gov_O,2010_Sen_D,2010_Sen_R,2008_Pre_D,2008_Pre_R,2008_Sen_D,2008_Sen_R,2008_Psc_D,2008_Psc_R,2008_Hou_D,2008_Hou_R,2006_Gov_D,2006_Gov_R,2006_LtG_D,2006_LtG_R,2006_Sos_D,2006_Sos_R,2006_Agr_D,2006_Agr_R,2006_Ins_D,2006_Ins_R,2006_Sup_D,2006_Sup_R,2006_Psc_D,2006_Psc_R,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
57,Forsyth,87179,44729.0,30433,58295,32853,66013,2988,27146,74356,25586,72220,28979,70468,26863,71446,27194,74006,27434,74115,896,28943,71142,1764,34609,79545,37688,77452,8211,24204,7878,24603,23334,68516,25012,66296,26092,65846,25629,66325,39074,87749,42204,85121,39229,85652,71542,170554,17652,74292,18170,70833,23463,69852,8307,43194,4109,10352,45162,1293,8730,47270,8512,47636,8340,44892,2621,10029,44894,1644,9167,46753,8315,47270,12320,60969,14570,65907,7850,42313,2483,7156,43453,7500,43115,2447,6077,45062,4865,18285,4567,16990,4257,15933,4381,17895,4288,25839,5252,24485,4735,24275,10235,19195,4509,26415,4216,24635,4914,23385,49408,77917,56601,70724,4883.0,251283,181193,84314,0.687681091432892,0.04122123923109612,0.16086714166662067,0.003487993465531229,0.08942950334725955,0.8483605878814303,0.5097492728747799,0.18403580712279172,0.16683867478324219,0.06818559195388667,0.10144222786251393,0.22450601323623598,0.3778138861873473,0.22820646630452832,0.431924713162305
58,Franklin,10427,1428.0,1077,6930,1166,7378,132,989,7687,877,7435,1018,7518,981,7543,1012,7649,948,7738,8,1032,7539,97,1265,7862,1345,7845,387,2702,379,2715,1025,6987,1006,6790,1036,7055,1110,6883,1470,9103,1593,9074,1465,8998,2815,17660,1020,6842,1113,6493,1243,7059,740,3740,229,839,3785,66,733,3982,725,3970,728,3853,91,838,3750,71,770,3924,795,3922,1368,5760,1499,6116,1169,3639,193,1021,3762,1098,3779,145,959,3878,1119,3843,1425,3129,1794,2727,1545,3281,1514,2668,1622,2524,1659,2367,2426,1771,1356,2896,1254,2803,1503,2539,1418,9249,1214,9453,258.0,23424,18307,8371,0.8504397225105151,0.07800294969137489,0.010760911126891353,0.0018572130878898782,0.03703501392909816,0.7113672365761731,0.1423499207953242,0.056590375266291584,0.23843338613645054,0.2646039899653566,0.23629196033926653,0.31883884840520843,0.14323258869908015,0.019591446661091864,0.03460466270647345
59,Fulton,135287,380140.0,282113,86173,307559,102756,7854,281064,131586,272143,135422,288773,115938,278832,120768,280572,131105,289084,128166,2632,288671,120408,6547,340661,142166,354548,134189,112342,38860,112170,39457,282585,130835,289182,118133,306383,112984,292707,122603,368444,145869,380920,137219,363054,146448,690179,293710,182625,187678,246397,151688,297051,117782,155524,89950,13260,173508,90427,3591,159878,101400,158803,103160,155881,94720,9329,167998,92487,5167,161241,100201,154542,103682,217891,159452,255413,137345,151446,93045,8345,149782,96352,155931,90072,10191,142919,104338,134482,83933,122554,84491,115181,75175,35149,56418,94739,76642,106267,65332,92740,77616,112537,55485,82865,91929,87469,81494,95709,68289,383851,134288,386377,131762,13734.0,1066710,847182,455362,0.41421677986548344,0.4156509463137791,0.07507831847229993,0.002836462531073606,0.07308228928376666,0.8136457101307629,0.49012726899296727,0.2036362906671766,0.1509345099400129,0.1663533628190319,0.16868337718123164,0.26901454227625493,0.2325314804485223,0.16301975131873103,0.7819577422767094
60,Gilmer,14671,3075.0,2352,10392,2523,11158,325,2103,11792,1983,11295,2233,11457,2077,11463,2090,11746,2010,11953,101,2267,11476,193,2534,12081,2694,12124,949,4266,884,4352,1856,10371,1958,10077,1915,10464,2086,10141,2750,13228,2929,13420,2712,13197,5101,25675,1882,9497,1793,9501,1962,10470,1283,5804,518,1590,6099,192,1373,6068,1293,6441,1302,6006,333,1607,5951,260,1459,6178,1316,6365,1768,7788,1956,8919,1634,5942,399,1487,6190,1505,6208,416,1238,6454,1107,4053,1341,3374,1300,3077,1231,3719,1364,3900,1432,3766,1485,3491,2677,2607,1225,4124,1128,3825,1407,3537,2950,13399,2976,13373,643.0,31353,25417,12806,0.8866900106228115,0.00405240587008695,0.005075343274186568,0.006491718141401424,0.08490380454026833,0.7764094897116104,0.20073179368139435,0.07254986819844986,0.3096746272180037,0.21685147587068562,0.21052631578947367,0.37404341714821177,0.1503201624238638,0.03607683898172732,0.02840292970607819
61,Glascock,1547,100.0,105,1119,113,1170,0,98,1183,88,1132,98,1176,90,1187,100,1176,89,1210,0,111,1167,0,125,1213,130,1233,45,540,73,537,105,1141,113,1109,107,1189,123,1113,144,1354,155,1404,149,1367,286,2623,125,1077,142,1100,138,1235,92,657,11,135,645,10,106,677,103,676,107,654,2,134,630,16,111,671,105,671,191,892,176,1134,139,630,27,140,654,159,637,25,100,711,122,598,181,477,215,377,337,350,149,488,142,454,157,399,357,253,111,493,97,500,126,425,146,1413,123,1436,21.0,2884,2236,1040,0.8993738819320215,0.06976744186046512,0.0031305903398926656,0.0,0.013864042933810376,0.7164579606440071,0.09615384615384616,0.0022361359570661895,0.20706618962432916,0.21346153846153845,0.24807692307692308,0.2980769230769231,0.17211538461538461,0.004807692307692308,0.007746378621714034
62,Glynn,26982,15780.0,11424,18900,11812,20734,597,10737,22175,9774,22111,10887,21412,10486,21559,10704,22115,10779,22244,191,10971,21569,447,13534,23503,13982,23448,3902,7244,3933,7249,11085,20985,11061,20200,11637,20743,11348,20657,14753,26200,15878,25617,14938,25560,28427,49983,6664,23005,9439,20888,11776,21512,6011,13128,820,6519,13511,194,6119,13989,6142,13901,6126,13241,619,6493,13117,394,6241,13813,6101,13725,9478,20339,11950,20892,6704,13800,647,6539,13984,7248,13481,515,6042,14597,4674,8446,4338,7631,4165,7383,3781,8875,3662,6935,3689,6857,3666,6708,4723,5665,3358,7325,3234,7233,3601,6684,16344,25151,16798,24697,939.0,84499,66468,33477,0.6784768610459169,0.22495035204910635,0.014247457423120901,0.0040320154059096105,0.06192453511464163,0.7962929529999399,0.2717096948907745,0.10520852139375339,0.2645182644279954,0.19353586044149715,0.22188368133345282,0.3012516055799504,0.22212265137258416,0.05756190817576246,0.07774612690894303
63,Gordon,21940,4604.0,3032,14055,3356,14955,475,2833,15843,2700,15284,2962,15339,2742,15497,2810,15858,2742,16003,111,3028,15428,279,3690,16460,3946,16491,990,4741,909,4838,2937,14525,3090,14121,3057,14642,3304,14159,4381,18688,4403,19484,4200,19088,7877,36985,2738,14302,2864,14147,3192,15249,1856,7598,581,2229,7737,370,1905,8234,1809,8357,1796,7918,397,2506,7473,369,1944,8185,1750,8389,3025,11800,3448,13228,2396,7827,431,2140,8216,2272,8041,549,1771,8642,1953,6307,2410,5155,2391,4622,2099,5684,2086,5465,2239,5246,2387,4802,3852,3693,1913,5734,1777,5533,2245,4864,4180,19707,3892,19995,933.0,57544,43500,20575,0.8074712643678161,0.0375632183908046,0.0127816091954023,0.0059540229885057475,0.12855172413793103,0.6875632183908046,0.14680459770114943,0.06011494252873563,0.19820689655172413,0.2338760631834751,0.26478736330498176,0.282041312272175,0.18216281895504252,0.03217496962332928,0.06233142763059552
64,Grady,7273,3250.0,2449,5067,2573,5639,46,2369,5884,2238,5795,2386,5750,2364,5760,2375,5854,2422,5885,2,2397,5788,18,3021,6214,3102,6227,751,1836,774,1836,2585,5650,2503,5487,2704,5633,2663,5540,3927,6588,3619,7035,3465,6969,6711,13618,1760,6198,2671,5535,3013,6054,1765,3587,157,1876,3567,60,1826,3718,1839,3662,1765,3606,110,2028,3374,76,1820,3694,1775,3730,2974,5669,3418,5924,2499,3801,98,2334,3981,2821,3537,207,2181,4090,1446,2838,1319,2583,1547,2202,2395,1715,1632,2323,1700,2119,1754,1969,2262,1575,1470,2345,1295,2537,1560,2098,3537,7117,3369,7285,152.0,26236,19962,9941,0.6099088267708647,0.27417092475703836,0.0046588518184550645,0.008415990381725278,0.09302675082657048,0.7142069932872458,0.13600841599038171,0.054703937481214306,0.24356276926159703,0.26938939744492507,0.24675585957147167,0.264057941856956,0.18619857157227643,0.015189618750628709,0.022289508740450752
65,Greene,8237,4278.0,3400,6277,3528,6741,146,3019,7368,2820,7269,3170,7079,3029,7180,3043,7324,3061,7403,33,3205,7115,96,3514,6955,3757,6855,1185,2880,1157,2926,2915,5951,2869,5743,3093,5855,3023,5837,3677,7379,4088,7068,3762,7247,7175,14361,1542,6161,2624,5736,3198,5489,2089,4143,196,2350,4110,64,2132,4339,2057,4416,2097,4232,122,2240,4184,92,2160,4283,2048,4394,2692,5011,3202,5070,2137,3589,133,2029,3712,2074,3640,175,1866,3895,1363,1597,1292,1470,1302,1328,1244,1551,1179,2263,1254,2162,1222,2073,1764,1670,995,2468,1099,2236,1176,2096,3983,7173,3889,7267,215.0,18915,15358,7588,0.6363458783695793,0.28402135694751923,0.008790207058210705,0.0023440552155228546,0.053783044667274384,0.8174892564135955,0.31306159656205235,0.11270998827972392,0.37329079307201457,0.20743278861360043,0.18977332630469163,0.2734580917237744,0.19847127042698998,0.1261201897733263,0.018845760675279023
66,Gwinnett,161844,240161.0,165067,100601,175688,115025,7324,161911,134545,157102,132048,164962,124251,160331,126571,162643,133062,164051,133075,2355,165417,126679,5262,215905,150466,224197,145597,53286,49894,52380,51087,168344,141634,170072,132883,177934,132885,173973,135730,233926,169871,241882,166463,233601,166808,445518,330241,109622,176381,141140,154571,166153,146989,78634,104857,11844,87153,107934,4297,81008,115585,79725,117125,78621,109251,8229,85160,107785,5324,82264,114033,78335,116499,116960,160016,132535,159908,74099,111564,8460,72104,114489,73447,112129,9482,67038,121223,128492,158389,120542,150108,117748,136593,105047,151554,42736,89744,49022,81862,46110,82406,65323,65055,40231,96132,41608,87629,45912,80428,258250,150095,274747,133598,13543.0,957062,709484,318781,0.3802580466930896,0.2661441272812354,0.1404555987168139,0.007701371701123633,0.2067122021074471,0.7612405635645061,0.33369321929740486,0.11747692689334784,0.13820043862863715,0.12124311047396175,0.19298828976632862,0.31543912592030265,0.28098286911704273,0.08891370564745076,0.8578476321084924
67,Habersham,18679,3757.0,2715,12669,2886,13509,478,2409,14402,2269,13850,2552,13963,2328,14056,2396,14407,2322,14512,110,2555,14034,280,2979,14862,3242,14776,1144,5225,1061,5338,2246,12944,2408,12562,2416,12943,2526,12657,3349,16530,3563,16637,3339,16384,6110,32115,2058,12969,2172,12493,2482,13189,1442,7436,563,1766,7656,268,1468,8024,1385,8183,1392,7749,341,1701,7687,259,1530,7936,1579,7960,2223,10837,2300,12167,1897,7925,419,1647,8344,1602,8339,476,1411,8586,1068,4487,1312,3821,1261,3647,1357,3957,1223,4416,1347,4257,1402,3957,3067,2626,1076,4682,1074,4360,1344,4005,3543,16657,3358,16842,742.0,46031,35878,15335,0.8133953955069959,0.04139026701599866,0.022297786944645744,0.004431685155248341,0.11469424159652154,0.7010424215396622,0.20282624449523384,0.0885222141702436,0.2356597357712247,0.19752200847733942,0.2449951092272579,0.32650798826214544,0.18389305510270623,0.039647864362569285,0.06419227980141685
68,Hall,71963,26147.0,17826,47471,19195,51644,2166,16418,56335,15644,54465,17089,54184,16086,54688,16417,56234,16299,56573,644,17181,54623,1237,20791,57453,22295,56718,5659,18322,5275,18797,15860,50256,16400,48636,17187,49442,17212,48933,23417,64876,25031,64171,23486,63834,43164,125939,11950,53945,13602,50124,16180,51733,7468,32954,2655,9204,33573,1137,7806,35500,7174,36332,7438,34030,1739,8399,34320,1122,8069,35146,7526,35611,11196,44283,12999,47481,8322,33247,1787,7011,35492,7109,35384,1626,6681,35477,6464,21382,6707,18992,6486,18157,5836,21299,5383,21309,5571,21356,5985,19903,11868,14936,4971,22477,4836,21069,5712,19843,26636,62566,28263,60939,3229.0,203136,153844,68142,0.6817100439406152,0.07175450456306388,0.021716804035256495,0.0077546085645199036,0.23495228933205065,0.7027833389667455,0.21904656665193312,0.08258365617118639,0.2000403005642079,0.14996624695488833,0.20589357518123919,0.3308385430424701,0.23106160664494732,0.07984796454462739,0.19957576787684497
69,Hancock,1345,2841.0,2356,910,2373,989,24,2207,1074,2108,1082,2169,1046,2228,1016,2224,1046,2313,1073,9,2224,1035,30,2656,1061,2778,1054,1198,375,1259,380,2485,903,2405,825,2663,869,2486,896,2812,1158,2982,1155,2856,1169,5551,2194,1169,1188,2292,943,2698,840,1789,511,45,1927,488,9,1810,550,1792,545,1785,516,29,1868,497,23,1792,550,1783,554,2609,1023,3308,768,2210,590,31,2212,598,2358,609,45,2147,694,1721,415,1546,401,1483,357,1651,317,1315,436,1322,375,1262,355,1393,279,1144,566,1193,492,1221,382,2775,1362,2564,1573,42.0,8735,7487,2992,0.2975824762922399,0.6722318685721917,0.004941899292106318,0.00293842660611727,0.006277547749432349,0.6528649659409643,0.0880192333377855,0.014157873647655937,0.2859623347135034,0.35294117647058826,0.27907754010695185,0.20855614973262032,0.11296791443850267,0.01771390374331551,0.007159571983000627
70,Haralson,14128,1638.0,1373,9052,1497,9789,308,1252,10305,1191,9871,1318,10031,1231,10108,1254,10286,1166,10397,32,1337,10080,133,1619,10422,1626,10534,576,3281,479,3392,1208,9185,1309,8888,1219,9278,1442,8948,1768,12051,1792,12332,1764,12015,3345,23539,1460,9193,1443,8832,1475,9585,1155,5212,383,1317,5256,252,1141,5592,1049,5709,1092,5382,267,1434,5128,252,1196,5550,1068,5696,1703,7682,1789,8447,1577,5152,263,1436,5359,1527,5181,334,1084,5706,1032,4113,1430,3335,1500,3073,1248,3755,1424,3501,1545,3370,1515,3208,2816,2146,1151,3918,1177,3606,1458,3318,1478,12646,1099,13025,536.0,29919,22854,11469,0.9071497330882996,0.043931040518071236,0.006519646451387065,0.0024503369213266825,0.014133193314080686,0.7544412356699046,0.15594644263586244,0.058107989848604186,0.21208541174411483,0.2163222600052315,0.2314935914203505,0.29741041067224694,0.22617490626907316,0.027639724474670852,0.0409398415991155
71,Harris,16086,5633.0,4394,11142,4547,12072,337,3925,12951,3691,12630,4089,12557,3948,12587,3971,12879,4007,12924,78,4104,12609,209,4698,13405,5034,13258,1621,4144,1661,4140,3741,11975,3814,11531,4020,11833,4653,11056,4888,14654,5456,14319,5192,14279,9603,28261,2749,12363,3394,11607,4086,11935,2531,7232,431,2878,7305,173,2597,7634,2596,7619,2556,7328,302,3008,6985,247,2600,7620,2511,7486,3892,11066,4145,11197,2991,6492,331,2449,7085,2803,6720,346,2325,7232,2012,5529,2209,4782,2022,4716,1979,5184,1850,4325,1822,4292,2100,3900,3332,2785,1534,4662,1560,4482,1801,4120,5410,14365,5323,14452,540.0,34668,26799,12318,0.7671181760513452,0.15724467330870556,0.012388521959774619,0.0034702787417440948,0.03388186126347998,0.8454793089294377,0.2929586924885257,0.12616142393372887,0.2367625657673794,0.10448124695567462,0.1427991557070953,0.35687611625263843,0.2909563240785842,0.09863614223088164,0.02885976939156234
72,Hart,10766,3151.0,2270,7507,2322,7979,178,2079,8329,1897,8111,2112,8131,2015,8178,2067,8324,2039,8425,29,2141,8164,90,2732,8348,2846,8353,748,2840,741,2864,2186,7223,2077,7087,2179,7371,2214,7129,2910,9407,3156,9463,2936,9376,5564,18243,1496,7258,2181,6703,2585,7286,1725,4636,292,1945,4667,136,1766,4955,1775,4927,1756,4757,164,1966,4638,160,1783,4892,1797,4888,2381,6118,2870,6516,1959,3751,259,1891,3864,1990,3846,249,1760,4051,1702,3929,1870,3244,2170,2780,2019,3356,2367,2715,2427,2477,2360,2353,3180,1833,1939,3100,1909,3003,2175,2565,2813,9806,2381,10238,356.0,25828,20436,10224,0.7769132902720689,0.16103934233705225,0.012282247015071442,0.0023977294969661383,0.028283421413192407,0.7641417107065962,0.15149735760422783,0.045361127422196126,0.2899784693677823,0.25322769953051644,0.234839593114241,0.325508607198748,0.16030907668231612,0.015160406885758999,0.04290622030553322
73,Heard,5255,766.0,639,3406,675,3674,93,568,3835,539,3718,588,3759,560,3766,576,3828,567,3858,10,602,3760,29,745,3881,800,3878,286,1196,256,1229,630,3341,658,3237,653,3375,714,3238,739,4443,824,4516,802,4413,1493,8548,571,3267,679,3098,743,3370,533,1783,122,616,1802,65,521,1927,501,1954,499,1857,75,639,1772,53,546,1894,481,1959,812,2886,948,3160,818,1845,106,734,1979,737,1950,152,601,2097,540,1948,716,1606,730,1472,579,1779,575,1401,599,1349,640,1236,1049,921,498,1516,492,1418,586,1310,585,4755,370,4970,172.0,11412,8698,4270,0.8561738330650724,0.08691653253621522,0.005633478960680617,0.0024143481260059784,0.01759025063232927,0.735226488848011,0.09530926649804553,0.038629570016095655,0.21361232467233846,0.2800936768149883,0.18688524590163935,0.3559718969555035,0.1449648711943794,0.02505854800936768,0.014887269245369905
74,Henry,43826,81249.0,55188,28099,60757,32819,1654,58346,36393,56417,36236,57979,34802,57255,34884,58234,36321,58644,36392,486,58407,35043,1469,66977,41699,68576,40825,19074,16230,18889,16550,54356,42787,53796,40611,56450,41345,55578,41368,72521,47784,73234,48165,71551,47465,139652,93859,33772,52465,44080,45212,50025,45701,29360,30633,2760,31391,30967,1120,29751,33126,29358,33618,29291,31613,1935,31031,30620,1324,30727,32182,29114,33366,39283,47871,43732,46750,26593,30982,1977,25967,32046,26262,31332,2230,24526,33216,7545,10528,7281,9401,7164,8787,7009,10236,12613,19694,13604,18435,14204,17380,18442,13608,11241,21784,11665,19801,13132,17929,80254,41145,87394,34005,3161.0,240712,179973,82309,0.39735404755157716,0.4763936812744134,0.03421068715862935,0.003444961188622738,0.06684335983730894,0.8054708206230935,0.2483094686425186,0.0894411939568713,0.1584237635645347,0.09566390066699874,0.19899403467421545,0.37342210450861996,0.2632518922596557,0.0674774326015381,0.29161305954327943
75,Houston,44256,34752.0,24604,29437,25657,32239,1095,23745,34902,23000,33802,23734,33776,23430,33683,23813,34705,23928,34841,343,24155,33745,851,28800,36917,29749,36644,8700,12100,8862,12077,23346,35009,23441,33456,24358,34314,24193,34106,30553,42879,32231,41534,30954,41428,59611,82064,14048,39031,19191,35288,22553,35429,13108,22436,1497,14339,22874,612,13397,23806,13208,23936,13206,22739,1113,14334,22167,844,13569,23545,13169,23810,20318,35609,22702,34661,14769,22283,1260,14975,22440,14832,22156,1538,13135,24330,9002,17021,9290,15392,8826,14464,12030,13622,6322,14388,7447,13189,7244,13016,10617,9997,5924,15029,6137,14320,6938,13200,34306,39459,36515,37250,1987.0,163633,122118,61173,0.5686221523444537,0.3095121112366727,0.03226387592328731,0.0035948836371378504,0.061661671498059255,0.8215660263024288,0.27291635958662935,0.11698521102540166,0.17162089126910038,0.16634789858270807,0.19296094682294476,0.3190132901770389,0.2717538783450215,0.047161329344645515,0.16800568393579698
76,Irwin,3332,972.0,705,2426,757,2600,11,617,2774,664,2603,678,2663,675,2667,694,2675,701,2694,2,703,2658,3,848,2726,885,2732,292,1026,314,1017,709,2788,778,2625,850,2701,850,2625,942,3145,1008,3133,981,3094,1857,6095,534,2686,762,2580,891,2715,614,1627,24,689,1603,7,619,1692,603,1696,602,1658,11,712,1547,23,639,1663,663,1665,1166,2284,1140,2538,1332,1206,8,1008,1515,1072,1485,25,796,1728,509,1346,676,1085,724,935,872,925,639,1022,609,1048,621,987,843,824,488,1181,488,1150,599,1007,938,3203,865,3276,22.0,9666,7547,3623,0.6749701868292036,0.22021995494898636,0.014972836888829999,0.0023850536637074335,0.0722141248178084,0.7078309261958394,0.15383596130912947,0.07671922618258911,0.23916788127732874,0.29699144355506485,0.2619376207562793,0.3295611371791333,0.07535191829975159,0.0038642009384487995,0.010531981660012901
77,Jackson,35171,10239.0,5853,21613,6503,24378,823,5490,26057,5312,24942,5723,25235,5414,25343,5522,25971,5419,26222,217,5757,25441,503,6341,25957,6922,25648,1694,7682,1599,7813,4523,21986,4627,21357,4672,21941,4864,21581,7164,29692,7640,29486,7259,29154,13233,57640,3921,21806,3903,20958,4489,21777,2316,12528,1030,2901,12727,395,2442,13449,2334,13565,2326,12908,631,2934,12558,494,2586,13287,2157,13745,3740,17754,4236,19132,2967,12517,687,2676,12932,2627,12914,771,2286,13431,1726,6387,1897,5611,1739,5478,2201,5700,1961,7340,2155,7090,2089,6911,3546,5851,1761,7778,1756,7258,2031,6942,8158,28968,8616,28510,1558.0,75907,56451,25661,0.8116950984039255,0.06890931958689837,0.023790544011620698,0.003224035003808613,0.07548139094081593,0.7889319941187933,0.22745389807089333,0.06988361587925812,0.19207808541921312,0.13923853318265073,0.17968902225166594,0.332917657145084,0.2837769377654807,0.057480222906355946,0.08628570324320207
78,Jasper,6998,1883.0,1340,4569,1464,4951,102,1295,5216,1252,5011,1308,5133,1279,5138,1309,5192,1285,5238,25,1364,5091,60,1577,5163,1682,5121,643,1840,605,1896,1419,4417,1417,4301,1483,4431,1511,4316,1645,5815,1761,5822,1689,5751,3169,11350,1073,4358,1362,4181,1545,4361,1109,2549,169,1213,2564,66,1118,2706,1074,2750,1081,2624,103,1195,2557,82,1177,2653,1079,2738,1585,3907,1845,4136,1340,2691,102,1257,2797,1283,2768,160,1123,2941,704,1733,791,1513,749,1397,1022,1345,792,1550,873,1445,836,1431,1365,976,644,1759,736,1532,821,1399,1422,6161,1139,6444,203.0,14588,11118,5331,0.7621874437848534,0.1712538226299694,0.001978773160640403,0.0033279366792588593,0.03615758229897464,0.8020327397013851,0.14786832164058283,0.06017269293038316,0.2283684115848174,0.18195460513974865,0.27480772838116674,0.3245169761770775,0.172763083849184,0.03226411555055337,0.0152887282834137
79,Jeff Davis,4890,887.0,742,3470,738,3737,24,648,3805,612,3701,627,3754,634,3780,662,3790,645,3865,6,666,3758,26,894,4084,937,4143,311,1422,366,1388,759,3872,801,3812,814,3978,842,3754,994,4528,1027,4694,1013,4573,1886,8717,552,3733,774,3716,901,4103,669,2142,64,733,2188,35,688,2239,677,2257,697,2140,45,808,2114,41,723,2194,717,2209,1130,3206,1274,3996,1118,2216,60,986,2371,1024,2453,112,774,2640,785,2504,929,2138,1019,1613,692,2376,850,1434,844,1372,802,1295,1226,1006,676,1548,648,1559,790,1316,969,4752,874,4847,81.0,14779,10856,5346,0.7246683861459101,0.15410832719233603,0.0040530582166543845,0.005434782608695652,0.1135777450257922,0.7114038319823139,0.10970891672807664,0.03187177597641857,0.2196020633750921,0.3279087167976057,0.2944257388701833,0.24092779648335205,0.10325476992143659,0.021885521885521887,0.0172434513037888
80,Jefferson,3773,3640.0,3079,2895,3158,3041,8,2904,3208,2882,3065,2934,3097,2966,3079,3002,3110,3088,3162,0,3020,3077,10,3581,3159,3766,3158,1676,1539,1869,1461,3366,3176,3193,3032,3564,3176,3389,3108,3835,3481,4060,3536,3913,3538,7513,6761,1616,3436,3091,3041,3820,3063,2348,2076,27,2496,2024,8,2344,2167,2337,2144,2332,2085,14,2427,2026,8,2332,2175,2303,2189,3293,3087,4261,2999,2627,1999,33,2520,2120,2658,2055,43,2282,2268,2522,1775,2297,1593,2441,1299,2898,1141,1857,1884,1924,1678,1910,1564,2604,1025,1671,1933,1682,1968,1785,1682,3755,3841,3499,4097,26.0,15709,12301,5605,0.4550849524428908,0.5032924152507926,0.004958946427119746,0.002438826111698236,0.02276237704251687,0.6963661490935696,0.09617104300463376,0.01056824648402569,0.23355824729696772,0.2977698483496878,0.25477252453166815,0.24852809991079394,0.16752899197145407,0.006601248884924175,0.011518829829435674
81,Jenkins,2210,1160.0,874,1646,911,1826,7,851,1875,834,1829,849,1842,847,1860,859,1871,871,1892,1,866,1849,7,1112,1937,1168,1944,415,755,461,744,935,1863,928,1778,1003,1857,967,1821,1181,2174,1265,2160,1195,2154,2311,4147,566,1983,933,1826,1123,1896,728,1136,22,786,1120,14,724,1174,718,1177,752,1135,10,763,1117,2,725,1179,731,1172,1198,1846,1488,1887,941,1164,38,892,1256,976,1215,40,823,1355,722,784,739,651,792,531,945,501,551,877,599,799,631,723,827,588,495,916,510,892,539,808,1221,2204,1144,2281,25.0,8674,7005,3299,0.5586009992862241,0.3980014275517488,0.0017130620985010706,0.003140613847251963,0.02769450392576731,0.7406138472519629,0.06638115631691649,0.021270521056388294,0.23369022127052105,0.4164898454076993,0.274022431039709,0.22309790845710822,0.06001818732949379,0.0,0.00964237397603969
82,Johnson,2933,1022.0,967,2419,868,2484,2,846,2477,784,2421,812,2454,818,2461,837,2470,866,2503,2,852,2446,5,1013,2514,1047,2529,327,1219,365,1201,867,2471,848,2407,947,2525,914,2434,1105,2800,1222,2849,1158,2802,2161,5427,578,2419,888,2373,1135,2519,679,1536,33,742,1538,6,696,1586,670,1591,678,1553,12,761,1486,10,725,1563,704,1575,1023,2255,1305,2441,791,1489,12,1137,1207,760,1592,44,639,1659,565,1321,651,1084,721,896,965,799,638,992,605,960,622,863,834,762,481,1120,456,1104,535,954,1119,2952,1011,3060,23.0,9189,7474,3120,0.6427615734546428,0.3296762108643297,0.0037463205780037465,0.001204174471501204,0.010971367407010971,0.6764784586566764,0.0767995718490768,0.034385871019534386,0.22625100347872626,0.2971153846153846,0.2201923076923077,0.3384615384615385,0.12692307692307692,0.0003205128205128205,0.011708491810171823
