,County,Baseline_R,Baseline_D,2022_SSe_D,2022_SSe_R,2022_Sen_D,2022_Sen_R,2022_Sen_O,2022_Sup_D,2022_Sup_R,2022_Sos_D,2022_Sos_R,2022_LtG_D,2022_LtG_R,2022_Lab_D,2022_Lab_R,2022_Ins_D,2022_Ins_R,2022_Gov_D,2022_Gov_R,2022_Gov_O,2022_Ag_D,2022_Ag_R,2022_Ag_O,2021_Psc_D,2021_Psc_R,2021_Sen_D,2021_Sen_R,2018_SPs_D,2018_SPs_R,2018_SSo_D,2018_SSo_R,2018_Sup_D,2018_Sup_R,2018_LtG_D,2018_LtG_R,2018_Gov_D,2018_Gov_R,2018_Ag_D,2018_Ag_R,2020_Hou_D,2020_Hou_R,2020_Pre_D,2020_Pre_R,2020_Sen_D,2020_Sen_R,2020_Psc_D,2020_Psc_R,2016_Psc_D,2016_Psc_R,2016_Sen_D,2016_Sen_R,2016_Pre_D,2016_Pre_R,2014_Psc_D,2014_Psc_R,2014_Psc_O,2014_Sen_D,2014_Sen_R,2014_Sen_O,2014_Sos_D,2014_Sos_R,2014_LtG_D,2014_LtG_R,2014_Ins_D,2014_Ins_R,2014_Ins_O,2014_Gov_D,2014_Gov_R,2014_Gov_O,2014_Ag_D,2014_Ag_R,2014_Agr_D,2014_Agr_R,2012_Psc_D,2012_Psc_R,2012_Pre_D,2012_Pre_R,2010_Ag_D,2010_Ag_R,2010_Ag_O,2010_LtG_D,2010_LtG_R,2010_Gov_D,2010_Gov_R,2010_Gov_O,2010_Sen_D,2010_Sen_R,2008_Pre_D,2008_Pre_R,2008_Sen_D,2008_Sen_R,2008_Psc_D,2008_Psc_R,2008_Hou_D,2008_Hou_R,2006_Gov_D,2006_Gov_R,2006_LtG_D,2006_LtG_R,2006_Sos_D,2006_Sos_R,2006_Agr_D,2006_Agr_R,2006_Ins_D,2006_Ins_R,2006_Sup_D,2006_Sup_R,2006_Psc_D,2006_Psc_R,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
47,Douglas,23596,44829.0,32400,16143,34158,17590,999,32626,19813,31531,19719,32617,18645,32125,18832,32615,19709,32858,19719,352,32734,18994,833,39442,22435,40630,21743,10563,8878,10416,9078,31741,22775,31816,21545,33053,21745,32493,21961,43308,24560,42810,25451,41796,25002,81334,49966,20486,29950,28165,25102,31005,24818,18057,17604,1665,19560,17400,810,18359,19106,18210,19268,18053,18166,1189,19248,17396,854,18703,18766,17863,19363,25500,28690,28441,26240,17364,18726,1178,17165,19206,17621,18424,1447,16248,20055,7857,9391,7590,8504,7476,8102,7716,8960,8993,12885,9753,11956,9509,11906,12765,9037,8269,14206,8545,12888,9254,11817,45875,22386,48953,19308,1812.0,144237,108428,50647,0.3950547828974066,0.4706348913564762,0.017421699192090603,0.004768141070572177,0.09418231453130188,0.7651990260818239,0.25687091895082453,0.09824030693178884,0.15818792193898254,0.15248682054218413,0.2024009319406875,0.3480758978814145,0.24001421604438564,0.05498844946393666,0.2782655500315428
48,Early,2719,2140.0,1653,2011,1650,2209,0,1536,2305,1471,2294,1539,2236,1550,2250,1535,2297,1576,2321,0,1534,2285,4,2113,2366,2172,2376,680,840,704,839,1763,2295,1689,2253,1839,2285,1785,2259,2644,2434,2437,2722,2232,2796,4391,5286,1225,2803,1876,2515,2167,2551,1471,1658,16,1509,1648,4,1478,1692,1467,1692,1457,1669,16,1513,1605,6,1475,1687,1466,1710,2061,2661,2764,2556,2136,1571,34,1827,1821,1961,1754,36,1780,1897,1456,1627,1342,1507,1479,1239,2137,827,992,1172,1020,1050,1047,998,1286,821,858,1240,802,1318,939,1107,2418,2741,2382,2777,17.0,10854,8315,4067,0.4815393866506314,0.48262176788935657,0.0036079374624173183,0.004329524954900782,0.013589897775105232,0.6833433553818401,0.12110643415514132,0.036440168370414916,0.2487071557426338,0.33415293828374726,0.23948856651094172,0.29333661175313497,0.09835259404966806,0.004917629702483403,0.008175415154270099
49,Echols,1286,120.0,88,861,100,938,20,97,952,85,923,97,935,91,939,103,944,93,956,9,103,939,8,123,1048,128,1059,25,339,23,341,123,988,118,953,126,1008,130,975,149,1230,167,1256,162,1233,281,2436,105,978,146,874,156,1007,89,506,7,96,514,8,94,518,96,520,101,498,6,134,478,8,95,512,87,532,201,762,173,917,125,435,29,112,435,175,387,25,108,439,111,512,149,382,188,302,127,424,184,278,178,276,178,259,239,225,143,318,122,332,151,283,126,1297,67,1356,27.0,3697,2709,1345,0.7294204503506829,0.03949796973052787,0.0007382798080472499,0.019564414913252122,0.24621631598375784,0.760797342192691,0.09745293466223699,0.018826135105204873,0.22148394241417496,0.3687732342007435,0.1970260223048327,0.27732342007434946,0.13308550185873605,0.010408921933085501,0.00339528792445691
50,Effingham,26872,8159.0,5985,16668,6473,18231,604,5661,19499,5306,19018,5642,18915,5559,18926,5639,19479,5604,19553,230,5776,18986,425,6825,20728,7136,20682,2008,6201,2292,5994,4935,18066,4961,17458,5145,17970,5224,17735,7160,23677,7720,23357,7627,22832,13769,45339,3414,18144,4049,17389,4853,17874,2549,9455,544,3031,9339,273,2648,9960,2576,10037,2647,9515,396,2928,9339,312,2679,9900,2619,9899,4278,14790,4946,15596,3216,9326,499,2900,9781,3001,9454,712,2462,10248,2937,10170,3509,8647,3094,8561,5216,7591,2249,7013,2300,6835,2346,6574,4131,4986,1956,7271,1893,7151,2209,6645,8128,22949,8554,22523,1056.0,64769,47295,22807,0.7764245691933608,0.13377735490009515,0.011333121894492018,0.004101913521513902,0.043429538006131724,0.811988582302569,0.21655566127497622,0.060133206470028545,0.1628290516967967,0.1389485684219757,0.19064322357171043,0.3592318147937037,0.26070943131494717,0.046476958828429865,0.05222615718566254
51,Elbert,6724,2703.0,1943,4713,2077,5134,36,1894,5363,1792,5236,1933,5225,1904,5230,1934,5314,1916,5369,6,1940,5253,28,2406,5538,2481,5531,760,2009,753,2015,2628,4669,2053,4970,2194,5153,2188,5019,2686,6217,2878,6226,2717,6225,5336,12042,1387,5564,2153,4960,2539,5292,1589,2936,147,1698,2974,30,1595,3088,1598,3066,1569,3005,74,1757,2820,74,1624,3041,1617,3054,2662,4877,3181,4859,2246,2989,112,1967,3295,2202,3110,148,1973,3319,1085,2291,1085,1968,1245,1737,1204,1998,1292,1898,1350,1787,1352,1681,1886,1266,1155,2007,1105,1996,1244,1809,2661,6443,2392,6712,135.0,19637,15493,7849,0.6743690699025366,0.2579229329374556,0.009100884270315626,0.002775446976053702,0.04259988381849868,0.7128380558962112,0.11476150519589493,0.04014716323500936,0.26089201574904797,0.3034781500828131,0.28487705440183464,0.2642374824818448,0.13721493183845077,0.006752452541725061,0.021594664291330574
52,Emanuel,6908,2631.0,2090,5033,2156,5330,7,1991,5429,1894,5330,1968,5331,1973,5348,2006,5393,2023,5504,0,2056,5354,4,2429,5760,2568,5786,901,2276,1078,2171,2142,5326,2107,5124,2277,5400,2216,5231,2613,6566,2883,6551,2719,6513,5162,12499,1240,5383,1973,5062,2434,5335,1542,3197,74,1693,3216,17,1534,3377,1524,3375,1540,3217,43,1706,3160,35,1542,3352,1532,3347,2344,4706,2926,5100,1959,2907,32,1920,2993,2011,2932,33,1539,3344,1727,2655,1701,2296,1850,1927,2338,1841,1422,2058,1354,2046,1464,1792,2060,1359,1074,2356,1115,2275,1312,1951,2631,6803,2429,7005,52.0,22768,17320,8231,0.643418013856813,0.30496535796766744,0.005658198614318707,0.003060046189376443,0.03400692840646651,0.6963625866050809,0.10808314087759816,0.029907621247113166,0.2048498845265589,0.3088324626412344,0.27189891872190497,0.29243105333495323,0.09610010934272871,0.013242619365812173,0.012916709688326512
53,Evans,2991,1209.0,938,2172,968,2314,18,876,2430,799,2440,870,2376,862,2390,871,2432,882,2466,0,891,2393,4,1128,2541,1201,2538,415,1050,535,969,986,2351,950,2274,1040,2393,1026,2293,1217,2899,1324,2887,1252,2876,2391,5552,585,2498,852,2395,1130,2404,636,1420,32,758,1369,7,642,1490,653,1489,661,1412,13,739,1373,7,645,1471,652,1462,1000,2105,1267,2268,938,1410,18,852,1528,905,1468,32,705,1696,671,1286,742,1086,746,972,1083,803,833,1195,774,1197,753,1112,1134,849,591,1389,605,1350,688,1156,1256,2955,1102,3109,26.0,10774,8127,3873,0.6063738156761412,0.2863295188876584,0.007751937984496124,0.0017226528854435831,0.08994708994708994,0.6678971330134121,0.13781223083548666,0.0522948197366802,0.2020425741355974,0.29202168861347794,0.2161115414407436,0.30467337980893366,0.1520784921249677,0.009553317841466564,0.022744352966012245
54,Fannin,13021,2520.0,2046,9117,2230,10036,290,1896,10599,1774,10195,1991,10320,1849,10406,1881,10591,1796,10753,55,2011,10389,127,2267,11004,2438,11013,848,3496,790,3567,1718,9266,1846,8888,1810,9314,1975,8983,2399,11968,2573,12177,2417,11980,4518,23110,1610,8918,1779,8847,1925,9640,1309,5088,355,1543,5244,149,1375,5442,1297,5533,1311,5215,247,1545,5224,136,1384,5412,1325,5453,1739,7013,2029,7863,1561,4971,345,1491,5119,1489,5102,432,1271,5423,1043,3832,1320,3174,1288,2854,1176,3512,1171,3615,1288,3375,1321,3107,2418,2262,1151,3603,1018,3469,1246,3156,2429,12321,2201,12549,498.0,25319,21188,11240,0.9364262790258637,0.0030677742118180103,0.004342080422880876,0.003775722106852936,0.023834245799509157,0.8164527090806116,0.21842552388144232,0.09510100056635831,0.34656409288276385,0.2277580071174377,0.26895017793594306,0.28976868327402133,0.16067615658362988,0.04154804270462634,0.02525319018637431
55,Fayette,37282,34563.0,26583,27071,28284,30179,1496,25450,34249,24559,33527,26218,32216,25182,32760,25357,34236,25769,34116,461,26105,32839,979,29523,37116,31298,36093,10878,14419,10666,14683,23175,33893,23903,32523,24797,32496,24238,32782,30791,39581,33064,37952,31477,38403,59067,76519,14954,39185,19602,36355,23283,35048,13454,25620,2223,15361,26174,769,13875,27727,13702,28050,13496,26561,1465,15047,25989,1044,14536,27105,13399,27908,17151,36690,19736,38076,13162,26830,1599,12828,27420,13032,27071,1781,11807,28797,4890,12968,4701,11936,4459,11036,4453,12886,8063,20427,9603,18635,9033,18720,13725,14520,7513,21690,7182,20882,8857,18394,36178,34838,39283,31733,2154.0,119194,91798,43006,0.6116582060611342,0.2437961611364082,0.05128652040349463,0.0031808971873025556,0.06719100634000741,0.8435260027451579,0.41260158173380684,0.15934987690363625,0.24069151833373276,0.08887132028089104,0.1283774357066456,0.30423661814630515,0.31274705854996976,0.16518625308096543,0.23654437315562507
56,Floyd,31452,11678.0,8357,19973,9159,21922,813,7834,23844,7499,23232,8285,22788,7843,23014,7928,23703,7854,23929,194,8200,23110,432,10223,25127,10833,24959,3064,7507,2922,7679,7940,21826,8164,20939,8444,21570,8553,21135,11279,28011,12008,29124,11480,28752,21206,56701,6059,25266,7811,23479,9158,24114,5365,14106,1050,6448,13902,607,5482,15132,5279,15392,5416,14423,731,6742,13335,745,5645,14974,5433,15084,8855,21812,9640,22733,6763,14032,731,6148,14771,6524,14209,988,5294,15787,3943,9885,4624,8174,5043,7289,3991,9402,5735,11174,6265,10562,6281,9954,10004,6880,4695,12610,4511,12206,5595,10548,11847,29285,11628,29504,1364.0,98584,76295,36055,0.7361688184022545,0.136457172816043,0.013474015335212006,0.006160298840028835,0.09393800380103545,0.7232452978570024,0.18144046136706207,0.07464447211481748,0.21204535028507765,0.22252114824573568,0.2538344196366662,0.28764387740951325,0.1915961725142144,0.038136180834835665,0.07466199738867801
